input_size_mb,dpu_cnt,tf_method,cpu_dpu_ms,dpu_cpu_ms
1,1,serial,0.0507,0.0502
1,1,parallel,0.05,0.0493
1,1,broadcast,0.0509,0.0304
1,2,serial,0.0492,0.049
1,2,parallel,0.0485,0.0475
1,2,broadcast,0.0506,0.0342
1,3,serial,0.0512,0.0486
1,3,parallel,0.0514,0.0514
1,3,broadcast,0.052,0.0347
1,4,serial,0.0619,0.0729
1,4,parallel,0.0534,0.0684
1,4,broadcast,0.0565,0.0406
1,5,serial,0.0613,0.0581
1,5,parallel,0.0689,0.115
1,5,broadcast,0.0484,0.0481
1,6,serial,0.0616,0.0897
1,6,parallel,0.0696,0.1358
1,6,broadcast,0.0814,0.0575
1,7,serial,0.0802,0.1215
1,7,parallel,0.0788,0.1552
1,7,broadcast,0.0748,0.0839
1,8,serial,0.0826,0.1174
1,8,parallel,0.0843,0.1457
1,8,broadcast,0.0897,0.0658
1,9,serial,0.0991,0.1282
1,9,parallel,0.0955,0.1315
1,9,broadcast,0.0925,0.0828
1,10,serial,0.1085,0.1428
1,10,parallel,0.0935,0.12
1,10,broadcast,0.0928,0.0963
1,11,serial,0.1159,0.1549
1,11,parallel,0.1216,0.1495
1,11,broadcast,0.1086,0.0986
1,12,serial,0.1277,0.1564
1,12,parallel,0.1177,0.1527
1,12,broadcast,0.0986,0.1012
1,13,serial,0.1312,0.1563
1,13,parallel,0.1303,0.1417
1,13,broadcast,0.1067,0.1054
1,14,serial,0.1375,0.1615
1,14,parallel,0.1286,0.1626
1,14,broadcast,0.122,0.1214
1,15,serial,0.1427,0.1748
1,15,parallel,0.1366,0.1662
1,15,broadcast,0.1255,0.124
1,16,serial,0.1453,0.1654
1,16,parallel,0.1428,0.1674
1,16,broadcast,0.1354,0.1244
1,17,serial,0.1586,0.1866
1,17,parallel,0.1416,0.156
1,17,broadcast,0.1229,0.1181
1,18,serial,0.1613,0.1844
1,18,parallel,0.1548,0.1709
1,18,broadcast,0.1364,0.1331
1,19,serial,0.1663,0.1953
1,19,parallel,0.1695,0.1725
1,19,broadcast,0.1456,0.1399
1,20,serial,0.1837,0.2485
1,20,parallel,0.1656,0.1839
1,20,broadcast,0.1562,0.1364
1,21,serial,0.1707,0.1843
1,21,parallel,0.1793,0.1879
1,21,broadcast,0.1354,0.146
1,22,serial,0.1827,0.1976
1,22,parallel,0.1784,0.1928
1,22,broadcast,0.1312,0.1472
1,23,serial,0.1746,0.1889
1,23,parallel,0.1634,0.1967
1,23,broadcast,0.1455,0.1601
1,24,serial,0.1877,0.1974
1,24,parallel,0.1781,0.1799
1,24,broadcast,0.1452,0.1616
1,25,serial,0.1704,0.1901
1,25,parallel,0.1755,0.1922
1,25,broadcast,0.1529,0.1591
1,26,serial,0.2,0.2162
1,26,parallel,0.1802,0.2186
1,26,broadcast,0.1548,0.1419
1,27,serial,0.189,0.2057
1,27,parallel,0.1918,0.1946
1,27,broadcast,0.1549,0.1729
1,28,serial,0.2994,0.1886
1,28,parallel,0.2194,0.2306
1,28,broadcast,0.185,0.1744
1,29,serial,0.1999,0.2185
1,29,parallel,0.2126,0.2112
1,29,broadcast,0.1549,0.1569
1,30,serial,0.2194,0.2185
1,30,parallel,0.2112,0.2279
1,30,broadcast,0.1811,0.1764
1,31,serial,0.2059,0.2105
1,31,parallel,0.2309,0.2319
1,31,broadcast,0.1642,0.1705
1,32,serial,0.2556,0.2229
1,32,parallel,0.2323,0.2142
1,32,broadcast,0.1898,0.1754
1,33,serial,0.2457,0.2371
1,33,parallel,0.2264,0.244
1,33,broadcast,0.2004,0.2055
1,34,serial,0.2306,0.2504
1,34,parallel,0.2524,0.2698
1,34,broadcast,0.1954,0.1825
1,35,serial,0.2616,0.2713
1,35,parallel,0.2248,0.2499
1,35,broadcast,0.1808,0.1839
1,36,serial,0.2392,0.24
1,36,parallel,0.2464,0.2344
1,36,broadcast,0.2264,0.2185
1,37,serial,0.2669,0.2853
1,37,parallel,0.2409,0.2575
1,37,broadcast,0.1771,0.2097
1,38,serial,0.2603,0.2473
1,38,parallel,0.2322,0.2577
1,38,broadcast,0.1781,0.1835
1,39,serial,0.2568,0.2521
1,39,parallel,0.2546,0.239
1,39,broadcast,0.2101,0.2147
1,40,serial,0.2529,0.2896
1,40,parallel,0.289,0.2938
1,40,broadcast,0.1989,0.1989
1,41,serial,0.2419,0.2705
1,41,parallel,0.2469,0.2688
1,41,broadcast,0.1772,0.2061
1,42,serial,0.2437,0.2874
1,42,parallel,0.2714,0.2751
1,42,broadcast,0.1668,0.2403
1,43,serial,0.2625,0.2546
1,43,parallel,0.2622,0.2998
1,43,broadcast,0.2238,0.2103
1,44,serial,0.2564,0.2603
1,44,parallel,0.2672,0.2587
1,44,broadcast,0.213,0.2114
1,45,serial,0.3006,0.284
1,45,parallel,0.2699,0.2923
1,45,broadcast,0.2295,0.2205
1,46,serial,0.2677,0.2515
1,46,parallel,0.2741,0.2768
1,46,broadcast,0.2153,0.2498
1,47,serial,0.2852,0.2671
1,47,parallel,0.3099,0.2814
1,47,broadcast,0.2187,0.2428
1,48,serial,0.3063,0.3018
1,48,parallel,0.2769,0.3031
1,48,broadcast,0.2377,0.2368
1,49,serial,0.3096,0.297
1,49,parallel,0.3467,0.3114
1,49,broadcast,0.2347,0.252
1,50,serial,0.2915,0.3227
1,50,parallel,0.2978,0.2963
1,50,broadcast,0.2117,0.1979
1,51,serial,0.3109,0.3251
1,51,parallel,0.2918,0.2919
1,51,broadcast,0.2635,0.2723
1,52,serial,0.2899,0.2906
1,52,parallel,0.3212,0.3102
1,52,broadcast,0.2232,0.2522
1,53,serial,0.309,0.3
1,53,parallel,0.3284,0.312
1,53,broadcast,0.2586,0.2437
1,54,serial,0.3463,0.3467
1,54,parallel,0.344,0.3309
1,54,broadcast,0.251,0.2374
1,55,serial,0.3232,0.333
1,55,parallel,0.3354,0.336
1,55,broadcast,0.2021,0.2619
1,56,serial,0.335,0.3141
1,56,parallel,0.3418,0.3067
1,56,broadcast,0.2361,0.2169
1,57,serial,0.3265,0.3345
1,57,parallel,0.3557,0.3506
1,57,broadcast,0.2821,0.2981
1,58,serial,0.2974,0.3269
1,58,parallel,0.3375,0.3294
1,58,broadcast,0.2853,0.297
1,59,serial,0.2468,0.3003
1,59,parallel,0.3633,0.3547
1,59,broadcast,0.2952,0.2814
1,60,serial,0.3373,0.3352
1,60,parallel,0.3557,0.3399
1,60,broadcast,0.2769,0.3362
1,61,serial,0.3666,0.3657
1,61,parallel,0.3398,0.3066
1,61,broadcast,0.2823,0.3014
1,62,serial,0.3396,0.3046
1,62,parallel,0.3586,0.357
1,62,broadcast,0.2981,0.3122
1,63,serial,0.3635,0.3206
1,63,parallel,0.3508,0.3789
1,63,broadcast,0.2562,0.3336
1,64,serial,0.3806,0.3755
1,64,parallel,0.3802,0.327
1,64,broadcast,0.2668,0.3136
24,1,serial,0.5027,0.491
24,1,parallel,0.507,0.5038
24,1,broadcast,0.4795,0.0317
24,2,serial,0.3224,0.2921
24,2,parallel,0.308,0.302
24,2,broadcast,0.3348,0.0346
24,3,serial,0.253,0.2252
24,3,parallel,0.266,0.2691
24,3,broadcast,0.2712,0.0346
24,4,serial,0.1992,0.7984
24,4,parallel,0.1856,0.6385
24,4,broadcast,0.1729,0.0385
24,5,serial,0.1997,0.9618
24,5,parallel,0.1711,1.5623
24,5,broadcast,0.1518,0.0448
24,6,serial,0.1781,1.4217
24,6,parallel,0.1782,1.6099
24,6,broadcast,0.1635,0.0666
24,7,serial,0.1798,1.3068
24,7,parallel,0.186,1.5068
24,7,broadcast,0.1634,0.0755
24,8,serial,0.1861,1.3561
24,8,parallel,0.1798,1.3685
24,8,broadcast,0.1575,0.0888
24,9,serial,0.2193,1.2618
24,9,parallel,0.2198,1.3305
24,9,broadcast,0.2075,0.0912
24,10,serial,0.2276,1.1134
24,10,parallel,0.2219,0.9438
24,10,broadcast,0.2012,0.0841
24,11,serial,0.2235,1.3167
24,11,parallel,0.2251,1.1027
24,11,broadcast,0.2152,0.0969
24,12,serial,0.2234,0.9488
24,12,parallel,0.2209,0.9685
24,12,broadcast,0.2211,0.1005
24,13,serial,0.2268,1.1401
24,13,parallel,0.236,1.0536
24,13,broadcast,0.2014,0.1122
24,14,serial,0.2307,1.1496
24,14,parallel,0.2385,1.4497
24,14,broadcast,0.2017,0.1178
24,15,serial,0.2481,1.2312
24,15,parallel,0.2386,1.0572
24,15,broadcast,0.2112,0.1292
24,16,serial,0.2515,0.995
24,16,parallel,0.239,0.9485
24,16,broadcast,0.2078,0.1198
24,17,serial,0.2472,1.1492
24,17,parallel,0.2513,1.1322
24,17,broadcast,0.2275,0.1325
24,18,serial,0.259,1.1268
24,18,parallel,0.2485,1.0886
24,18,broadcast,0.2107,0.1429
24,19,serial,0.2413,1.0138
24,19,parallel,0.2609,1.1229
24,19,broadcast,0.2133,0.1454
24,20,serial,0.2594,0.9556
24,20,parallel,0.25,1.1753
24,20,broadcast,0.2267,0.1503
24,21,serial,0.2675,1.3377
24,21,parallel,0.2636,1.1192
24,21,broadcast,0.2167,0.1654
24,22,serial,0.2651,1.2049
24,22,parallel,0.2725,1.0753
24,22,broadcast,0.2191,0.1521
24,23,serial,0.2804,1.1083
24,23,parallel,0.2822,1.2367
24,23,broadcast,0.247,0.1546
24,24,serial,0.2934,1.2516
24,24,parallel,0.2751,1.0375
24,24,broadcast,0.2362,0.1693
24,25,serial,0.2778,1.1244
24,25,parallel,0.279,1.3239
24,25,broadcast,0.2535,0.1748
24,26,serial,0.3006,1.0487
24,26,parallel,0.2826,1.0636
24,26,broadcast,0.2615,0.1811
24,27,serial,0.2847,1.2891
24,27,parallel,0.2967,1.1302
24,27,broadcast,0.2248,0.1794
24,28,serial,0.3123,1.2107
24,28,parallel,0.3155,1.0782
24,28,broadcast,0.2604,0.1841
24,29,serial,0.3163,1.0859
24,29,parallel,0.3121,1.2882
24,29,broadcast,0.2506,0.1747
24,30,serial,0.3162,1.1601
24,30,parallel,0.3144,1.1488
24,30,broadcast,0.2549,0.1861
24,31,serial,0.3146,1.186
24,31,parallel,0.3292,1.1171
24,31,broadcast,0.2554,0.198
24,32,serial,0.3301,1.3483
24,32,parallel,0.322,1.1039
24,32,broadcast,0.2598,0.157
24,33,serial,0.3249,1.1812
24,33,parallel,0.331,1.1453
24,33,broadcast,0.2468,0.1819
24,34,serial,0.3354,1.2661
24,34,parallel,0.3233,1.2756
24,34,broadcast,0.2498,0.1957
24,35,serial,0.3492,1.2465
24,35,parallel,0.3275,1.2671
24,35,broadcast,0.278,0.1941
24,36,serial,0.3557,1.2039
24,36,parallel,0.3444,1.2355
24,36,broadcast,0.2688,0.2023
24,37,serial,0.3499,1.3595
24,37,parallel,0.3592,1.2837
24,37,broadcast,0.2971,0.2266
24,38,serial,0.3555,1.2411
24,38,parallel,0.3692,1.3522
24,38,broadcast,0.2984,0.1966
24,39,serial,0.3553,1.5272
24,39,parallel,0.3509,1.3072
24,39,broadcast,0.2997,0.2225
24,40,serial,0.3904,1.298
24,40,parallel,0.3698,1.2433
24,40,broadcast,0.2662,0.2244
24,41,serial,0.3635,1.5813
24,41,parallel,0.3747,1.2124
24,41,broadcast,0.2868,0.2369
24,42,serial,0.377,1.2878
24,42,parallel,0.3729,1.3091
24,42,broadcast,0.304,0.2246
24,43,serial,0.3746,1.3154
24,43,parallel,0.3852,1.2851
24,43,broadcast,0.2936,0.2127
24,44,serial,0.3698,1.2364
24,44,parallel,0.359,1.138
24,44,broadcast,0.3016,0.2305
24,45,serial,0.3935,1.3053
24,45,parallel,0.3912,1.3846
24,45,broadcast,0.3167,0.2265
24,46,serial,0.398,1.2974
24,46,parallel,0.3894,1.4031
24,46,broadcast,0.2955,0.2011
24,47,serial,0.3886,1.3345
24,47,parallel,0.4067,1.2221
24,47,broadcast,0.3316,0.2221
24,48,serial,0.409,1.3279
24,48,parallel,0.3926,1.304
24,48,broadcast,0.2872,0.203
24,49,serial,0.4055,1.3813
24,49,parallel,0.4151,1.388
24,49,broadcast,0.3105,0.2781
24,50,serial,0.4298,1.2995
24,50,parallel,0.413,1.3837
24,50,broadcast,0.2862,0.2522
24,51,serial,0.4115,1.3476
24,51,parallel,0.4257,1.3276
24,51,broadcast,0.3255,0.2366
24,52,serial,0.4524,1.4059
24,52,parallel,0.3954,1.5003
24,52,broadcast,0.338,0.2451
24,53,serial,0.4233,1.4173
24,53,parallel,0.4174,1.3258
24,53,broadcast,0.3223,0.2346
24,54,serial,0.4451,1.3764
24,54,parallel,0.4397,1.3255
24,54,broadcast,0.2991,0.214
24,55,serial,0.4572,1.4256
24,55,parallel,0.4291,1.5194
24,55,broadcast,0.3409,0.2731
24,56,serial,0.4455,1.4696
24,56,parallel,0.4501,1.4904
24,56,broadcast,0.3329,0.2799
24,57,serial,0.4395,1.3803
24,57,parallel,0.4545,1.4564
24,57,broadcast,0.3034,0.2429
24,58,serial,0.4622,1.5839
24,58,parallel,0.4633,1.4904
24,58,broadcast,0.3507,0.2357
24,59,serial,0.4334,1.4329
24,59,parallel,0.4737,1.41
24,59,broadcast,0.3481,0.2244
24,60,serial,0.4625,1.4401
24,60,parallel,0.45,1.397
24,60,broadcast,0.3025,0.2313
24,61,serial,0.5629,1.4653
24,61,parallel,0.536,1.6119
24,61,broadcast,0.3701,0.2732
24,62,serial,0.4951,1.5146
24,62,parallel,0.4928,1.4359
24,62,broadcast,0.3214,0.2473
24,63,serial,0.4915,1.4215
24,63,parallel,0.4879,1.4759
24,63,broadcast,0.3505,0.2536
24,64,serial,0.4875,1.6093
24,64,parallel,0.4706,1.4814
24,64,broadcast,0.3609,0.2719
48,1,serial,1.0053,0.993
48,1,parallel,0.9912,1.0002
48,1,broadcast,1.0236,0.0319
48,2,serial,0.7278,2.0942
48,2,parallel,0.7187,2.0029
48,2,broadcast,0.7548,0.0347
48,3,serial,0.6529,0.6695
48,3,parallel,0.6475,0.694
48,3,broadcast,0.6921,0.0396
48,4,serial,0.5477,1.5294
48,4,parallel,0.4978,1.1975
48,4,broadcast,0.4802,0.0489
48,5,serial,0.405,1.2304
48,5,parallel,0.4101,1.371
48,5,broadcast,0.4205,0.0452
48,6,serial,0.387,1.3523
48,6,parallel,0.363,1.178
48,6,broadcast,0.4143,0.0613
48,7,serial,0.3818,2.0796
48,7,parallel,0.3637,1.5014
48,7,broadcast,0.3756,0.0599
48,8,serial,0.3662,1.9471
48,8,parallel,0.3525,1.9081
