input_size_mb,dpu_cnt,tf_method,cpu_dpu_ms,dpu_cpu_ms
1,1,serial,0.052,0.0494
1,1,parallel,0.052,0.0497
1,1,broadcast,0.0542,0.0311
1,2,serial,0.0485,0.0474
1,2,parallel,0.0494,0.0498
1,2,broadcast,0.0494,0.0357
1,3,serial,0.0502,0.0495
1,3,parallel,0.0503,0.0496
1,3,broadcast,0.0502,0.0325
1,4,serial,0.0498,0.0483
1,4,parallel,0.0569,0.0793
1,4,broadcast,0.0484,0.0439
1,5,serial,0.06,0.076
1,5,parallel,0.0612,0.1054
1,5,broadcast,0.0717,0.046
1,6,serial,0.0697,0.1363
1,6,parallel,0.0726,0.1368
1,6,broadcast,0.0662,0.0739
1,7,serial,0.0818,0.1572
1,7,parallel,0.0801,0.1417
1,7,broadcast,0.0707,0.0779
1,8,serial,0.0879,0.151
1,8,parallel,0.0857,0.1378
1,8,broadcast,0.0851,0.0812
1,9,serial,0.0943,0.1255
1,9,parallel,0.1001,0.1424
1,9,broadcast,0.0906,0.0893
1,10,serial,0.0945,0.1199
1,10,parallel,0.092,0.1408
1,10,broadcast,0.0934,0.088
1,11,serial,0.1155,0.1519
1,11,parallel,0.116,0.1398
1,11,broadcast,0.1081,0.1057
1,12,serial,0.1249,0.1465
1,12,parallel,0.1314,0.1523
1,12,broadcast,0.1176,0.1043
1,13,serial,0.1235,0.1583
1,13,parallel,0.1192,0.1445
1,13,broadcast,0.107,0.1075
1,14,serial,0.1292,0.1537
1,14,parallel,0.1263,0.167
1,14,broadcast,0.1065,0.1261
1,15,serial,0.1381,0.1654
1,15,parallel,0.1318,0.1613
1,15,broadcast,0.1306,0.1286
1,16,serial,0.1511,0.1781
1,16,parallel,0.1394,0.1698
1,16,broadcast,0.1138,0.1204
1,17,serial,0.1469,0.1717
1,17,parallel,0.1458,0.1546
1,17,broadcast,0.1401,0.1224
1,18,serial,0.1492,0.1758
1,18,parallel,0.1545,0.1708
1,18,broadcast,0.1422,0.135
1,19,serial,0.1665,0.1818
1,19,parallel,0.1557,0.1782
1,19,broadcast,0.1285,0.1198
1,20,serial,0.1653,0.1792
1,20,parallel,0.1576,0.1788
1,20,broadcast,0.139,0.1336
1,21,serial,0.1651,0.1768
1,21,parallel,0.1891,0.1856
1,21,broadcast,0.1474,0.1351
1,22,serial,0.1752,0.1812
1,22,parallel,0.1747,0.1872
1,22,broadcast,0.1383,0.1266
1,23,serial,0.1902,0.1922
1,23,parallel,0.1855,0.1973
1,23,broadcast,0.1547,0.1518
1,24,serial,0.1793,0.1896
1,24,parallel,0.1775,0.1938
1,24,broadcast,0.1774,0.1572
1,25,serial,0.2003,0.2163
1,25,parallel,0.1821,0.1983
1,25,broadcast,0.1473,0.1469
1,26,serial,0.1905,0.2022
1,26,parallel,0.1937,0.1967
1,26,broadcast,0.1813,0.1762
1,27,serial,0.2028,0.2062
1,27,parallel,0.2098,0.2171
1,27,broadcast,0.1706,0.1413
1,28,serial,0.218,0.2263
1,28,parallel,0.2225,0.2251
1,28,broadcast,0.1694,0.1776
1,29,serial,0.2091,0.211
1,29,parallel,0.2318,0.2333
1,29,broadcast,0.1649,0.1464
1,30,serial,0.1791,0.2034
1,30,parallel,0.2084,0.223
1,30,broadcast,0.1692,0.156
1,31,serial,0.2143,0.2255
1,31,parallel,0.2145,0.2352
1,31,broadcast,0.1847,0.1716
1,32,serial,0.1923,0.2415
1,32,parallel,0.2245,0.2453
1,32,broadcast,0.1795,0.1664
1,33,serial,0.221,0.2572
1,33,parallel,0.2148,0.2268
1,33,broadcast,0.1639,0.1684
1,34,serial,0.2339,0.2143
