cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size_mb,inp_size,n_dpus,dtype,block,n_tsklts
0.4947,0.2744,249.4853,1536900.0,8,2097152,32,INT32,9,24
0.529,0.2633,243.2307,1535520.0,8,2097152,32,INT32,9,22
0.5329,0.2581,244.7087,1534050.0,8,2097152,32,INT32,9,20
0.5056,0.2542,250.6402,1532850.0,8,2097152,32,INT32,9,18
0.5141,0.2583,245.2599,1531700.0,8,2097152,32,INT32,9,16
0.5242,0.2665,249.1411,1530800.0,8,2097152,32,INT32,9,14
0.5249,0.2752,257.2094,1529840.0,8,2097152,32,INT32,9,12
0.4902,0.2664,263.7373,1528990.0,8,2097152,32,INT32,9,10
0.5674,0.273,270.2043,1528240.0,8,2097152,32,INT32,9,8
0.5542,0.2779,280.3224,1527760.0,8,2097152,32,INT32,9,6
0.5442,0.2879,266.879,1527230.0,8,2097152,32,INT32,9,4
0.5284,0.2888,259.8389,1526930.0,8,2097152,32,INT32,9,2
0.7541,0.3725,232.5618,773472.0,8,2097152,64,INT32,9,24
1.6523,0.3455,240.2344,772000.0,8,2097152,64,INT32,9,22
0.7762,0.365,251.066,770656.0,8,2097152,64,INT32,9,20
0.7763,0.3532,254.6921,769392.0,8,2097152,64,INT32,9,18
0.7287,0.3409,253.8183,768304.0,8,2097152,64,INT32,9,16
0.7242,0.3322,249.8559,767424.0,8,2097152,64,INT32,9,14
0.6766,0.3697,259.4948,766480.0,8,2097152,64,INT32,9,12
0.7319,0.3854,260.7169,765680.0,8,2097152,64,INT32,9,10
0.8107,0.4302,268.3983,764848.0,8,2097152,64,INT32,9,8
0.8046,0.4262,272.4109,764320.0,8,2097152,64,INT32,9,6
0.8307,0.3896,261.8173,763840.0,8,2097152,64,INT32,9,4
0.772,0.367,249.7249,763536.0,8,2097152,64,INT32,9,2
