cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size_mb,inp_size,n_dpus,dtype,block,n_tsklts
0.9801,0.6908,498.7382,3053630.0,16,4194304,32,INT32,9,1
0.8344,0.5512,490.8645,3053710.0,16,4194304,32,INT32,9,2
1.0549,0.6895,528.3811,3053940.0,16,4194304,32,INT32,9,3
0.9686,0.5275,518.9806,3054020.0,16,4194304,32,INT32,9,4
0.8806,0.4767,562.6064,3054260.0,16,4194304,32,INT32,9,5
0.9881,0.5595,566.0128,3054500.0,16,4194304,32,INT32,9,6
1.046,0.5308,561.0011,3054770.0,16,4194304,32,INT32,9,7
0.9147,0.5764,556.0277,3055020.0,16,4194304,32,INT32,9,8
0.8446,0.5798,555.4765,3055440.0,16,4194304,32,INT32,9,9
0.8408,0.5259,565.0525,3055810.0,16,4194304,32,INT32,9,10
0.9522,0.562,559.5438,3056060.0,16,4194304,32,INT32,9,11
0.7868,0.5165,595.6702,3056660.0,16,4194304,32,INT32,9,12
0.8399,0.4764,573.3952,3057040.0,16,4194304,32,INT32,9,13
0.8718,0.5488,564.4991,3057500.0,16,4194304,32,INT32,9,14
0.9384,0.5101,571.1933,3058100.0,16,4194304,32,INT32,9,15
0.9881,0.4666,573.403,3058480.0,16,4194304,32,INT32,9,16
0.8581,0.4724,565.7114,3059010.0,16,4194304,32,INT32,9,17
0.878,0.4468,588.4856,3059600.0,16,4194304,32,INT32,9,18
0.9114,0.4776,581.3572,3060110.0,16,4194304,32,INT32,9,19
0.854,0.5048,576.7448,3060820.0,16,4194304,32,INT32,9,20
0.7492,0.4317,573.3173,3061490.0,16,4194304,32,INT32,9,21
0.8456,0.5023,563.9861,3062180.0,16,4194304,32,INT32,9,22
0.836,0.5037,567.0524,3062900.0,16,4194304,32,INT32,9,23
0.8132,0.5053,567.2866,3063650.0,16,4194304,32,INT32,9,24
