cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size,n_dpus,dtype,block,op,n_tsklts
0.194,0.1055,35.9535,645456.0,500000,8,INT32,9,OP_ADD,16
0.2145,0.101,36.9325,650560.0,500000,8,INT32,9,OP_ADD,24
0.2005,0.0955,33.634,645456.0,500000,8,INT32,9,OP_SUB,16
0.209,0.096,40.8635,650560.0,500000,8,INT32,9,OP_SUB,24
0.2055,0.1205,239.1,2877540.0,500000,8,INT32,9,OP_MULT,16
0.203,0.097,239.7355,2882690.0,500000,8,INT32,9,OP_MULT,24
0.2195,0.1215,115.2785,1621090.0,500000,8,INT32,9,OP_DIV,16
0.1895,0.106,123.31,1626260.0,500000,8,INT32,9,OP_DIV,24
0.1875,0.1135,46.255,723184.0,500000,8,INT64,9,OP_ADD,16
0.2055,0.118,45.563,728640.0,500000,8,INT64,9,OP_ADD,24
0.202,0.1235,38.657,723184.0,500000,8,INT64,9,OP_SUB,16
0.2185,0.1115,45.0755,728640.0,500000,8,INT64,9,OP_SUB,24
0.211,0.154,621.999,8352270.0,500000,8,INT64,9,OP_MULT,16
0.211,0.133,635.7415,8357780.0,500000,8,INT64,9,OP_MULT,24
0.222,0.1505,904.4415,12537500.0,500000,8,INT64,9,OP_DIV,16
0.2155,0.13,950.6565,12542700.0,500000,8,INT64,9,OP_DIV,24
0.1845,0.123,285.1335,4651330.0,500000,8,FLOAT,9,OP_ADD,16
0.188,0.1095,295.729,4656480.0,500000,8,FLOAT,9,OP_ADD,24
0.1945,0.119,328.6325,4890210.0,500000,8,FLOAT,9,OP_SUB,16
0.2075,0.1085,304.7245,4895270.0,500000,8,FLOAT,9,OP_SUB,24
0.216,0.167,793.669,11075000.0,500000,8,FLOAT,9,OP_MULT,16
0.1885,0.128,828.45,11080100.0,500000,8,FLOAT,9,OP_MULT,24
0.242,0.1455,4523.4395,62085100.0,500000,8,FLOAT,9,OP_DIV,16
0.209,0.2125,4668.398,62090200.0,500000,8,FLOAT,9,OP_DIV,24
0.2405,0.137,439.019,7017260.0,500000,8,DOUBLE,9,OP_ADD,16
0.2275,0.118,484.3065,7022780.0,500000,8,DOUBLE,9,OP_ADD,24
0.2085,0.152,480.3645,7312940.0,500000,8,DOUBLE,9,OP_SUB,16
0.2395,0.1215,480.985,7318510.0,500000,8,DOUBLE,9,OP_SUB,24
0.287,0.187,3085.8165,39481400.0,500000,8,DOUBLE,9,OP_MULT,16
0.2895,0.155,3294.534,39486900.0,500000,8,DOUBLE,9,OP_MULT,24
0.307,0.2265,10399.4525,128384000.0,500000,8,DOUBLE,9,OP_DIV,16
0.358,0.2375,10529.9235,128389000.0,500000,8,DOUBLE,9,OP_DIV,24
0.1685,0.0755,34.472,508608.0,500000,8,CHAR,9,OP_ADD,16
0.175,0.079,33.1145,513504.0,500000,8,CHAR,9,OP_ADD,24
0.1815,0.0785,31.297,508608.0,500000,8,CHAR,9,OP_SUB,16
0.1715,0.081,28.867,513504.0,500000,8,CHAR,9,OP_SUB,24
0.1685,0.0785,28.6405,508608.0,500000,8,CHAR,9,OP_MULT,16
0.1795,0.1175,35.9305,513504.0,500000,8,CHAR,9,OP_MULT,24
0.2,0.127,89.8195,1196860.0,500000,8,CHAR,9,OP_DIV,16
0.1545,0.117,84.308,1201810.0,500000,8,CHAR,9,OP_DIV,24
0.1855,0.085,38.1455,637632.0,500000,8,SHORT,9,OP_ADD,16
0.526,0.0935,46.998,642640.0,500000,8,SHORT,9,OP_ADD,24
0.199,0.0815,38.5115,637632.0,500000,8,SHORT,9,OP_SUB,16
0.173,0.082,41.5455,642640.0,500000,8,SHORT,9,OP_SUB,24
0.171,0.1,77.4385,1012380.0,500000,8,SHORT,9,OP_MULT,16
0.1715,0.128,69.841,1017380.0,500000,8,SHORT,9,OP_MULT,24
0.1705,0.1025,107.868,1419950.0,500000,8,SHORT,9,OP_DIV,16
0.199,0.098,95.8715,1425100.0,500000,8,SHORT,9,OP_DIV,24
