cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size,n_dpus,dtype,block,final_reduc,n_tsklts
0.1165,0.0555,80.6455,1869550.0,524288,2,INT32,10,SINGLE,16
0.1065,0.0465,80.417,1878460.0,524288,2,INT32,10,TREE_BARRIER,16
0.1105,0.0625,105.213,1869970.0,524288,2,INT32,10,TREE_HANDSHAKE,16
0.1055,0.0425,79.395,1869680.0,524288,2,INT32,10,MUTEX,16
0.106,0.046,51.918,1083330.0,262144,2,INT64,10,SINGLE,16
0.1135,0.051,51.2595,1091820.0,262144,2,INT64,10,TREE_BARRIER,16
0.1085,0.0615,55.015,1083650.0,262144,2,INT64,10,TREE_HANDSHAKE,16
0.11,0.049,48.823,1083540.0,262144,2,INT64,10,MUTEX,16
0.122,0.0705,278.218,5543220.0,524288,2,FLOAT,10,SINGLE,16
0.125,0.063,304.87,5551580.0,524288,2,FLOAT,10,TREE_BARRIER,16
0.1275,0.073,263.475,5543550.0,524288,2,FLOAT,10,TREE_HANDSHAKE,16
0.12,0.0665,256.026,5546460.0,524288,2,FLOAT,10,MUTEX,16
0.108,0.063,206.621,4368370.0,262144,2,DOUBLE,10,SINGLE,16
0.117,0.0525,223.4565,4379490.0,262144,2,DOUBLE,10,TREE_BARRIER,16
0.1105,0.0585,202.6435,4368720.0,262144,2,DOUBLE,10,TREE_HANDSHAKE,16
0.127,0.0685,223.3475,4375650.0,262144,2,DOUBLE,10,MUTEX,16
0.115,0.05,299.6575,6320580.0,2097152,2,CHAR,10,SINGLE,16
0.1205,0.0475,291.561,6329170.0,2097152,2,CHAR,10,TREE_BARRIER,16
0.1065,0.045,290.7875,6320880.0,2097152,2,CHAR,10,TREE_HANDSHAKE,16
0.117,0.048,321.0705,6320670.0,2097152,2,CHAR,10,MUTEX,16
0.1235,0.0525,188.4835,4228900.0,1048576,2,SHORT,10,SINGLE,16
0.1305,0.0475,187.1215,4237550.0,1048576,2,SHORT,10,TREE_BARRIER,16
0.1065,0.0495,185.071,4229260.0,1048576,2,SHORT,10,TREE_HANDSHAKE,16
0.116,0.0505,187.252,4229040.0,1048576,2,SHORT,10,MUTEX,16
