cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size_kb,inp_size,n_dpus,dtype,block,final_reduc,n_tsklts
0.512,0.457,1.4055,976.0,16,4096,64,INT32,10,SINGLE,4
0.6025,0.463,1.634,1840.0,16,4096,64,INT32,10,SINGLE,8
0.6585,0.5055,2.487,3184.0,16,4096,64,INT32,10,SINGLE,12
0.74,0.4615,3.581,5136.0,16,4096,64,INT32,10,SINGLE,16
0.691,0.471,4.834,7680.0,16,4096,64,INT32,10,SINGLE,20
0.517,0.4375,5.7835,10464.0,16,4096,64,INT32,10,SINGLE,24
0.596,0.455,1.416,1104.0,16,4096,64,INT32,10,TREE_BARRIER,4
0.612,0.4965,2.3205,2976.0,16,4096,64,INT32,10,TREE_BARRIER,8
0.7185,0.4215,3.5335,6864.0,16,4096,64,INT32,10,TREE_BARRIER,12
0.9125,0.433,6.456,11776.0,16,4096,64,INT32,10,TREE_BARRIER,16
0.6395,0.4175,10.045,21184.0,16,4096,64,INT32,10,TREE_BARRIER,20
0.566,0.486,13.404,29680.0,16,4096,64,INT32,10,TREE_BARRIER,24
0.7215,0.4555,1.0665,912.0,16,4096,64,INT32,10,TREE_HANDSHAKE,4
0.562,0.464,1.6065,1600.0,16,4096,64,INT32,10,TREE_HANDSHAKE,8
0.464,0.42,2.2865,2320.0,16,4096,64,INT32,10,TREE_HANDSHAKE,12
0.688,0.447,2.77,3264.0,16,4096,64,INT32,10,TREE_HANDSHAKE,16
0.654,0.44,3.7075,4224.0,16,4096,64,INT32,10,TREE_HANDSHAKE,20
0.688,0.482,4.5885,5408.0,16,4096,64,INT32,10,TREE_HANDSHAKE,24
0.455,0.4525,1.1755,832.0,16,4096,64,INT32,10,MUTEX,4
0.745,0.401,1.713,1280.0,16,4096,64,INT32,10,MUTEX,8
0.5235,0.453,2.058,1984.0,16,4096,64,INT32,10,MUTEX,12
0.939,0.431,2.8195,2864.0,16,4096,64,INT32,10,MUTEX,16
0.6535,0.436,3.435,4048.0,16,4096,64,INT32,10,MUTEX,20
0.5555,0.4315,5.0705,5648.0,16,4096,64,INT32,10,MUTEX,24
0.596,0.4035,11.9915,33648.0,1024,262144,64,INT32,10,SINGLE,4
0.7545,0.5335,14.3855,34560.0,1024,262144,64,INT32,10,SINGLE,8
0.752,0.406,12.6815,35984.0,1024,262144,64,INT32,10,SINGLE,12
0.761,0.412,14.917,37728.0,1024,262144,64,INT32,10,SINGLE,16
0.7445,0.4485,15.834,39632.0,1024,262144,64,INT32,10,SINGLE,20
0.571,0.447,16.922,42096.0,1024,262144,64,INT32,10,SINGLE,24
0.7295,0.444,13.0505,33808.0,1024,262144,64,INT32,10,TREE_BARRIER,4
0.668,0.447,13.2515,35696.0,1024,262144,64,INT32,10,TREE_BARRIER,8
0.6725,0.4275,16.079,39648.0,1024,262144,64,INT32,10,TREE_BARRIER,12
0.7585,0.503,15.9015,44032.0,1024,262144,64,INT32,10,TREE_BARRIER,16
0.5,0.456,20.294,53056.0,1024,262144,64,INT32,10,TREE_BARRIER,20
0.6355,0.4085,21.3965,61248.0,1024,262144,64,INT32,10,TREE_BARRIER,24
0.7455,0.417,12.448,33616.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,4
0.6735,0.458,13.3885,34288.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,8
0.711,0.412,13.8065,35056.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,12
0.7175,0.481,13.445,35936.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,16
0.787,0.389,14.2255,36896.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,20
0.634,0.449,15.102,38048.0,1024,262144,64,INT32,10,TREE_HANDSHAKE,24
0.8135,0.466,13.583,33552.0,1024,262144,64,INT32,10,MUTEX,4
0.6875,0.418,13.5975,34032.0,1024,262144,64,INT32,10,MUTEX,8
0.8205,0.475,13.08,34784.0,1024,262144,64,INT32,10,MUTEX,12
0.686,0.4585,13.6805,35472.0,1024,262144,64,INT32,10,MUTEX,16
0.9055,0.565,13.702,36464.0,1024,262144,64,INT32,10,MUTEX,20
0.7175,0.4175,15.132,37600.0,1024,262144,64,INT32,10,MUTEX,24
0.802,0.374,157.705,532128.0,16384,4194304,64,INT32,10,SINGLE,4
0.6595,0.3235,148.746,533040.0,16384,4194304,64,INT32,10,SINGLE,8
0.636,0.28,149.0365,534464.0,16384,4194304,64,INT32,10,SINGLE,12
0.658,0.266,150.803,536208.0,16384,4194304,64,INT32,10,SINGLE,16
0.933,0.3615,147.5275,538112.0,16384,4194304,64,INT32,10,SINGLE,20
0.763,0.318,150.2325,540592.0,16384,4194304,64,INT32,10,SINGLE,24
0.7285,0.3645,146.8335,532288.0,16384,4194304,64,INT32,10,TREE_BARRIER,4
0.722,0.361,148.632,534176.0,16384,4194304,64,INT32,10,TREE_BARRIER,8
0.917,0.34,153.2035,538128.0,16384,4194304,64,INT32,10,TREE_BARRIER,12
0.7915,0.3215,163.138,542512.0,16384,4194304,64,INT32,10,TREE_BARRIER,16
0.8755,0.3075,156.099,551520.0,16384,4194304,64,INT32,10,TREE_BARRIER,20
0.791,0.364,148.8975,559744.0,16384,4194304,64,INT32,10,TREE_BARRIER,24
0.741,0.374,148.9,532096.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,4
0.7905,0.348,150.0315,532768.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,8
0.7315,0.308,147.8855,533536.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,12
0.7315,0.4025,149.2785,534416.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,16
0.6625,0.2445,150.6785,535392.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,20
0.793,0.356,143.9925,536544.0,16384,4194304,64,INT32,10,TREE_HANDSHAKE,24
0.912,0.316,156.2435,532032.0,16384,4194304,64,INT32,10,MUTEX,4
1.3525,0.768,166.836,532512.0,16384,4194304,64,INT32,10,MUTEX,8
