cpu_dpu,dpu_cpu,dpu_kernel_time,dpu_instr_cnt,inp_size_kb,inp_size,n_dpus,dtype,block,final_reduc,n_tsklts
0.316,0.2105,0.733,1232.0,16,4096,32,INT32,10,SINGLE,4
0.3365,0.291,0.898,1712.0,16,4096,32,INT32,10,SINGLE,8
0.3885,0.258,1.6065,2400.0,16,4096,32,INT32,10,SINGLE,12
0.373,0.2535,1.9045,3360.0,16,4096,32,INT32,10,SINGLE,16
0.3775,0.25,2.248,4448.0,16,4096,32,INT32,10,SINGLE,20
0.3415,0.23,2.6995,6032.0,16,4096,32,INT32,10,SINGLE,24
0.461,0.2125,0.952,1280.0,16,4096,32,INT32,10,TREE_BARRIER,4
0.482,0.2295,1.0965,1808.0,16,4096,32,INT32,10,TREE_BARRIER,8
0.387,0.244,1.1805,2528.0,16,4096,32,INT32,10,TREE_BARRIER,12
0.3805,0.2445,1.8405,3488.0,16,4096,32,INT32,10,TREE_BARRIER,16
0.325,0.2365,2.4655,4720.0,16,4096,32,INT32,10,TREE_BARRIER,20
0.4055,0.2425,3.4515,6416.0,16,4096,32,INT32,10,TREE_BARRIER,24
0.4225,0.1295,0.8295,1328.0,16,4096,32,INT32,10,TREE_HANDSHAKE,4
0.4205,0.2695,0.978,1984.0,16,4096,32,INT32,10,TREE_HANDSHAKE,8
0.41,0.2655,1.253,2720.0,16,4096,32,INT32,10,TREE_HANDSHAKE,12
0.3595,0.213,1.485,3632.0,16,4096,32,INT32,10,TREE_HANDSHAKE,16
0.4935,0.287,2.039,4592.0,16,4096,32,INT32,10,TREE_HANDSHAKE,20
0.366,0.239,2.241,5744.0,16,4096,32,INT32,10,TREE_HANDSHAKE,24
0.371,0.223,0.6665,1248.0,16,4096,32,INT32,10,MUTEX,4
0.411,0.2785,1.0665,1696.0,16,4096,32,INT32,10,MUTEX,8
0.4235,0.239,1.1375,2416.0,16,4096,32,INT32,10,MUTEX,12
0.3595,0.239,1.563,3280.0,16,4096,32,INT32,10,MUTEX,16
0.313,0.246,1.847,4464.0,16,4096,32,INT32,10,MUTEX,20
0.368,0.251,2.512,6064.0,16,4096,32,INT32,10,MUTEX,24
0.3795,0.247,13.032,58768.0,1024,262144,32,INT32,10,SINGLE,4
0.425,0.224,13.781,59408.0,1024,262144,32,INT32,10,SINGLE,8
0.452,0.2295,13.2995,60080.0,1024,262144,32,INT32,10,SINGLE,12
0.4365,0.228,12.697,61024.0,1024,262144,32,INT32,10,SINGLE,16
0.405,0.228,13.954,62080.0,1024,262144,32,INT32,10,SINGLE,20
0.3935,0.275,14.28,63248.0,1024,262144,32,INT32,10,SINGLE,24
0.53,0.266,14.2465,58816.0,1024,262144,32,INT32,10,TREE_BARRIER,4
0.439,0.245,14.6615,59552.0,1024,262144,32,INT32,10,TREE_BARRIER,8
0.4445,0.231,11.975,60256.0,1024,262144,32,INT32,10,TREE_BARRIER,12
0.3735,0.2565,11.7435,61360.0,1024,262144,32,INT32,10,TREE_BARRIER,16
0.3665,0.2425,14.19,62528.0,1024,262144,32,INT32,10,TREE_BARRIER,20
0.3525,0.223,13.9305,63728.0,1024,262144,32,INT32,10,TREE_BARRIER,24
0.4085,0.2615,13.495,58848.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,4
0.5015,0.275,12.759,59616.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,8
0.442,0.257,14.253,60448.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,12
0.433,0.261,13.939,61392.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,16
0.4345,0.2495,14.692,62448.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,20
0.4845,0.2235,15.391,63680.0,1024,262144,32,INT32,10,TREE_HANDSHAKE,24
0.406,0.274,14.127,58816.0,1024,262144,32,INT32,10,MUTEX,4
