trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0003.champsim.gz,0.7037,50000000,71053040,537.3,0,0,0,0
charlie_0000.champsim.gz,0.7041,50000006,71013144,463.1,0,0,0,0
charlie_0004.champsim.gz,0.5868,50000002,85211893,425.8,0,0,0,0
cc-5.trace.gz,0.3582,50000000,139598046,125.3,0,0,0,0
sssp-10.trace.gz,0.3518,50000000,142126078,186.5,0,0,0,0
sssp-14.trace.gz,0.351,50000005,142441353,186.6,0,0,0,0
cc-14.trace.gz,0.3275,50000006,152658765,124.9,0,0,0,0
cc-13.trace.gz,0.2937,50000000,170269363,124.1,0,0,0,0
charlie_0001.champsim.gz,0.8252,50000003,60591303,446.6,0,0,0,0
bfs-10.trace.gz,0.2413,50000002,207246611,261.5,0,0,0,0
charlie_0002.champsim.gz,0.4697,50000005,106454495,468.7,0,0,0,0
bfs-14.trace.gz,0.1712,50000006,291998264,250.3,0,0,0,0
bc-12.trace.gz,0.1571,50000001,318316754,212.0,0,0,0,0
bc-0.trace.gz,0.1574,50000000,317640428,218.3,0,0,0,0
