trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0003.champsim.gz,0.7972,50000000,62722745,270.6,0,0,0,100
charlie_0000.champsim.gz,0.849,50000006,58891773,258.1,0,0,0,0
charlie_0004.champsim.gz,0.6932,50000002,72129970,247.1,0,0,0,0
sssp-10.trace.gz,0.4097,50000006,122048063,136.5,0,0,0,0
sssp-14.trace.gz,0.4087,50000002,122350025,137.1,0,0,0,0
cc-5.trace.gz,0.4039,50000000,123795678,106.2,0,0,0,0
cc-14.trace.gz,0.3672,50000006,136175229,106.0,0,0,0,0
cc-13.trace.gz,0.3273,50000000,152774559,105.8,0,0,0,0
charlie_0001.champsim.gz,0.9901,50000006,50499852,254.8,0,0,0,0
bfs-10.trace.gz,0.2755,50000002,181481532,214.2,0,0,0,0
charlie_0002.champsim.gz,0.5743,50000005,87062525,263.4,0,0,0,0
bfs-14.trace.gz,0.1961,50000006,255014519,205.0,0,0,0,0
bc-12.trace.gz,0.2011,50000000,248663835,150.9,0,0,0,0
bc-0.trace.gz,0.2063,50000001,242421236,153.1,0,0,0,0
