trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0003.champsim.gz,0.809,50000000,61805859,287.4,1401054,1331592,33060,24977
charlie_0000.champsim.gz,0.8635,50000006,57905554,267.0,195378,156238,25841,21548
charlie_0004.champsim.gz,0.7043,50000002,70996977,255.2,304356,251896,35528,30901
sssp-14.trace.gz,0.5541,50000003,90235754,115.6,1981182,1953982,299452,233585
sssp-10.trace.gz,0.5477,50000006,91297804,114.3,1947432,1924475,288463,244337
cc-5.trace.gz,0.5318,50000000,94015957,86.48,1433502,1432173,218589,132612
cc-14.trace.gz,0.4756,50000006,105126719,86.21,1450008,1449201,220976,132214
cc-13.trace.gz,0.4151,50000000,120452385,85.94,1549800,1548335,235469,151478
bfs-10.trace.gz,0.3623,50000004,137996544,225.8,1762890,1762638,299757,244998
bfs-14.trace.gz,0.2933,50000006,170468418,224.4,2874654,2868982,551981,311257
charlie_0001.champsim.gz,1.014,50000001,49326905,265.8,154356,118296,20994,15165
charlie_0002.champsim.gz,0.5818,50000005,85940816,271.0,361968,295052,43981,35007
bc-12.trace.gz,0.2211,50000000,226095032,150.0,1588908,1577725,215710,402351
bc-0.trace.gz,0.2288,50000000,218502238,153.4,1709076,1697835,236916,413510
