trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.1695,50000005,294932025,228.4,1717182,1715003,237737,415917
bc-12.trace.gz,0.1661,50000007,300999085,224.1,1593876,1590966,216346,403619
bfs-10.trace.gz,0.3136,50000006,159432586,289.8,1762824,1762537,299756,244921
bfs-14.trace.gz,0.255,50000006,196061357,290.3,2874654,2870185,551972,311315
cc-13.trace.gz,0.3719,50000000,134437581,103.8,1549812,1548394,235478,151603
cc-14.trace.gz,0.4221,50000006,118452939,105.0,1450146,1449380,221063,132222
cc-5.trace.gz,0.4671,50000000,107040647,106.1,1433592,1432266,218627,132649
charlie_0000.champsim.gz,0.7067,50000006,70755834,524.7,191832,162016,25889,21732
charlie_0001.champsim.gz,0.8315,50000001,60129973,520.1,150072,121729,20815,15354
charlie_0002.champsim.gz,0.4675,50000005,106944868,524.4,358620,308951,44154,35190
charlie_0003.champsim.gz,0.6991,50000000,71521935,665.2,1396128,1338466,32914,25367
charlie_0004.champsim.gz,0.5854,50000002,85404853,485.0,300084,258452,35430,31383
sssp-10.trace.gz,0.4338,50000000,115248737,191.0,1957242,1941646,289739,244714
sssp-14.trace.gz,0.4385,50000002,114035471,193.4,1990572,1972195,300837,234425
