trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0003.champsim.gz,0.8074,50000000,61930476,280.4,730859,724714,30791,15709
charlie_0000.champsim.gz,0.8621,50000006,57996056,263.8,94604,85889,24109,14241
charlie_0004.champsim.gz,0.7035,50000002,71069386,251.2,160954,150236,33131,21461
sssp-14.trace.gz,0.5566,50000003,89830461,115.9,1626646,1609826,294663,198179
sssp-10.trace.gz,0.55,50000006,90902462,114.7,1603687,1589473,284137,210194
cc-5.trace.gz,0.5318,50000000,94015957,86.48,1433502,1432173,218589,132612
cc-14.trace.gz,0.4756,50000006,105126719,86.21,1450008,1449201,220976,132214
cc-13.trace.gz,0.4151,50000000,120452385,85.94,1549800,1548335,235469,151478
bfs-10.trace.gz,0.3622,50000004,138046702,225.8,1762714,1762476,299757,244979
bfs-14.trace.gz,0.2932,50000006,170518312,224.5,2854562,2853977,551925,310804
charlie_0001.champsim.gz,1.012,50000001,49418695,260.9,79148,69227,18974,10040
charlie_0002.champsim.gz,0.5814,50000005,86003640,267.4,162471,150123,41478,24449
bc-12.trace.gz,0.2212,50000007,226005744,150.0,1532325,1529309,215085,399193
bc-0.trace.gz,0.229,50000000,218358472,153.1,1649284,1647491,236441,410280
