trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.1754,50000005,285068805,222.4,452531,452531,191739,120335
bc-12.trace.gz,0.1722,50000000,290369193,216.9,415455,415441,173673,115898
bfs-10.trace.gz,0.3051,50000006,163855936,284.7,1102087,1102059,272490,163262
bfs-14.trace.gz,0.2371,50000006,210867317,281.3,1566232,1566223,479154,188095
cc-13.trace.gz,0.3813,50000000,131124725,101.3,1151436,1151430,222402,83719
cc-14.trace.gz,0.433,50000006,115484849,102.4,985820,985820,212346,69224
cc-5.trace.gz,0.4814,50000000,103853386,102.9,847677,847677,207059,58876
charlie_0000.champsim.gz,0.708,50000006,70618574,502.7,50211,49565,22073,9923
charlie_0001.champsim.gz,0.8292,50000001,60300743,481.1,35495,35095,15181,6480
charlie_0002.champsim.gz,0.4696,50000005,106478178,502.3,91400,90645,38380,15085
charlie_0003.champsim.gz,0.7039,50000000,71032595,617.0,349762,348629,29516,11723
charlie_0004.champsim.gz,0.589,50000002,84891953,460.9,72445,71953,30791,13031
sssp-10.trace.gz,0.458,50000000,109179629,186.6,517443,517350,258330,77772
sssp-14.trace.gz,0.4589,50000002,108958924,187.9,524128,523936,263502,76699
