trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.2066,50000002,242010859,155.3,505538,505095,27194,72939
bc-12.trace.gz,0.2011,50000000,248597494,152.4,420361,419439,22505,68178
bfs-10.trace.gz,0.314,50000002,159213677,174.8,1283414,1261424,704,309
bfs-14.trace.gz,0.2751,50000007,181764893,122.7,2387459,2387423,1705,610
cc-13.trace.gz,0.3211,50000000,155711118,109.0,379637,376557,39358,90691
cc-14.trace.gz,0.3611,50000006,138465499,109.4,333005,329342,34625,82439
cc-5.trace.gz,0.3982,50000000,125550787,109.8,325679,320221,34045,78997
charlie_0000.champsim.gz,0.8983,50000006,55663674,234.9,158576,156899,1809,12030
charlie_0001.champsim.gz,1.012,50000003,49385349,244.5,83068,81620,638,8695
charlie_0002.champsim.gz,0.6021,50000005,83046492,243.7,237831,235448,2874,22572
charlie_0003.champsim.gz,0.8063,50000000,62011270,265.6,84956,83568,684,10093
charlie_0004.champsim.gz,0.708,50000002,70621675,240.0,140604,138835,890,12615
sssp-10.trace.gz,0.4272,50000006,117039001,133.8,861457,858304,66194,164656
sssp-14.trace.gz,0.4299,50000002,116307592,134.0,853496,849815,64529,154915
