trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.2334,50000002,214230292,151.0,1187172,1176563,177814,78720
bc-12.trace.gz,0.2255,50000000,221696023,147.8,1088094,1078629,161780,79518
bfs-10.trace.gz,0.338,50000004,147918941,222.0,1409892,1409790,236928,83143
bfs-14.trace.gz,0.2587,50000006,193278515,219.1,2267334,2263031,426319,143008
cc-13.trace.gz,0.4241,50000000,117885623,85.24,1338372,1338125,213716,44563
cc-14.trace.gz,0.4849,50000006,103114662,85.41,1285404,1285314,205567,39545
cc-5.trace.gz,0.5416,50000000,92312494,85.86,1260558,1260393,201554,40747
charlie_0000.champsim.gz,0.86,50000006,58137162,267.0,157440,126679,22098,14591
charlie_0001.champsim.gz,1.005,50000001,49748459,264.9,118452,91162,16264,11423
charlie_0002.champsim.gz,0.5798,50000005,86231086,271.2,298068,243833,37767,26275
charlie_0003.champsim.gz,0.8074,50000000,61925873,287.1,1202832,1144806,29517,17871
charlie_0004.champsim.gz,0.7025,50000002,71177193,254.3,245730,204593,30617,23688
sssp-10.trace.gz,0.553,50000006,90412935,116.3,1615362,1595085,247888,72852
sssp-14.trace.gz,0.556,50000002,89932290,117.5,1651740,1628787,257327,77406
