trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.2289,50000002,218426540,153.2,1627149,1625565,240097,412518
bc-12.trace.gz,0.2212,50000000,226057865,150.0,1514630,1511746,216445,398117
bfs-10.trace.gz,0.3679,50000004,135889679,224.5,1481175,1480879,313059,240363
bfs-14.trace.gz,0.2934,50000006,170392721,222.9,2610057,2609597,551947,305622
cc-13.trace.gz,0.415,50000000,120484147,86.1,1546746,1545310,235496,151246
cc-14.trace.gz,0.4752,50000006,105217306,86.29,1448554,1447794,220987,132021
cc-5.trace.gz,0.5319,50000000,94007067,86.52,1431806,1430504,218658,132598
charlie_0000.champsim.gz,0.894,50000006,55929343,263.7,119275,112904,43592,20014
charlie_0001.champsim.gz,1.033,50000001,48392700,261.4,78694,71187,28243,13227
charlie_0002.champsim.gz,0.6016,50000005,83116198,268.4,196804,187349,68331,41192
charlie_0003.champsim.gz,0.8157,50000000,61298705,280.0,479435,468151,35426,14863
charlie_0004.champsim.gz,0.7173,50000002,69708473,252.2,159529,147499,47326,26414
sssp-10.trace.gz,0.5486,50000006,91136676,114.6,1645801,1630071,285976,218890
sssp-14.trace.gz,0.5554,50000002,90021655,116.0,1681407,1662706,296348,207979
