trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.2061,50000002,242546747,154.8,231488,231488,0,0
bc-12.trace.gz,0.2013,50000000,248442867,151.9,177046,177046,0,0
bfs-10.trace.gz,0.391,50000002,127868549,120.7,627836,627836,0,0
bfs-14.trace.gz,0.2966,50000006,168553611,106.9,919390,919390,0,0
cc-13.trace.gz,0.3209,50000000,155821587,113.6,314939,314939,0,0
cc-14.trace.gz,0.3624,50000006,137975489,114.1,300566,300566,0,0
cc-5.trace.gz,0.4004,50000000,124875520,114.4,289561,289561,0,0
charlie_0000.champsim.gz,0.9058,50000006,55197626,234.0,77928,77928,0,0
charlie_0001.champsim.gz,1.045,50000001,47857329,236.6,48702,48702,0,0
charlie_0002.champsim.gz,0.6113,50000005,81794428,240.9,120654,120654,0,0
charlie_0003.champsim.gz,0.8151,50000000,61344875,260.4,47539,47539,0,0
charlie_0004.champsim.gz,0.7166,50000002,69771366,236.9,76282,76281,0,0
sssp-10.trace.gz,0.4305,50000006,116153304,135.8,431852,431852,0,0
sssp-14.trace.gz,0.4314,50000002,115907432,136.1,436405,436405,0,0
