trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.1747,50000002,286281638,222.9,492033,492024,200731,146700
bc-12.trace.gz,0.1717,50000001,291189484,217.4,437929,437911,178914,131752
bfs-10.trace.gz,0.3105,50000006,161040666,284.8,900954,900954,289453,180971
bfs-14.trace.gz,0.2396,50000006,208705167,278.6,1368474,1368465,485458,202778
cc-13.trace.gz,0.381,50000000,131236875,101.4,1156281,1156279,222609,84800
cc-14.trace.gz,0.4325,50000006,115617658,102.5,985173,985173,212386,69584
cc-5.trace.gz,0.481,50000000,103948376,103.0,845657,845657,207171,59340
charlie_0000.champsim.gz,0.7323,50000006,68277014,511.9,86612,85652,42875,17563
charlie_0001.champsim.gz,0.8478,50000003,58979412,492.2,50867,48887,27077,11143
charlie_0002.champsim.gz,0.4828,50000005,103566453,508.0,138240,137226,65129,34958
charlie_0003.champsim.gz,0.7117,50000000,70254385,611.7,267562,260459,35318,13215
charlie_0004.champsim.gz,0.5991,50000002,83460633,463.1,94445,92812,46294,21036
sssp-10.trace.gz,0.4553,50000000,109806078,186.5,529404,529329,260057,85605
sssp-14.trace.gz,0.4565,50000002,109517847,187.8,535623,535367,265746,83339
