trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0003.champsim.gz,0.705,50000000,70917405,552.3,61131,60599,468,8439
charlie_0000.champsim.gz,0.7326,50000006,68250434,447.9,112729,111751,1146,9605
charlie_0004.champsim.gz,0.5906,50000002,84664103,431.5,106804,105916,891,11372
cc-5.trace.gz,0.3502,50000000,142765197,130.7,308664,304825,32201,75625
sssp-14.trace.gz,0.3503,50000005,142729986,195.5,619744,618685,49106,118887
sssp-10.trace.gz,0.349,50000000,143284628,195.4,621548,619289,49754,123121
cc-14.trace.gz,0.3199,50000006,156303481,130.1,328255,325378,34426,81962
cc-13.trace.gz,0.2867,50000000,174386976,128.8,362880,360444,37677,86789
bfs-10.trace.gz,0.2709,50000002,184565641,220.3,1162437,1146267,594,320
charlie_0001.champsim.gz,0.8395,50000003,59559683,439.8,55871,55412,495,7263
bfs-14.trace.gz,0.2287,50000007,218619587,167.6,1810835,1810821,1417,575
charlie_0002.champsim.gz,0.4864,50000005,102794427,453.2,176129,174588,2113,17799
bc-12.trace.gz,0.1554,50000000,321845103,217.2,294954,294923,16200,50493
bc-0.trace.gz,0.1561,50000001,320307098,223.5,353174,353160,19324,52127
