trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.1489,50000005,335834978,245.5,2240123,2240123,123564,484349
bc-12.trace.gz,0.1452,50000001,344445811,241.0,2075666,2075623,111338,469959
bfs-10.trace.gz,0.281,50000002,177914911,207.6,1575104,1575066,515,264
bfs-14.trace.gz,0.213,50000007,234760357,186.5,1176273,1176226,1309,1973
cc-13.trace.gz,0.2726,50000000,183427916,138.4,2287283,2287283,183163,525090
cc-14.trace.gz,0.3046,50000006,164150823,142.1,2243425,2243425,177176,513571
cc-5.trace.gz,0.3339,50000000,149762544,143.9,2185577,2185577,171918,502706
charlie_0000.champsim.gz,0.7374,50000006,67801844,449.4,202315,202169,2619,24721
charlie_0001.champsim.gz,0.8486,50000003,58919863,447.1,167800,167622,1515,19716
charlie_0002.champsim.gz,0.4918,50000005,101669625,449.3,354451,353256,5186,46645
charlie_0003.champsim.gz,0.7136,50000000,70071595,537.3,248088,247358,1454,34249
charlie_0004.champsim.gz,0.5911,50000002,84591413,436.5,272566,272253,2817,35300
sssp-10.trace.gz,0.34,50000006,147065365,206.5,1423969,1423969,102097,303031
sssp-14.trace.gz,0.3408,50000005,146699302,207.2,1425944,1425943,101093,303933
