trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
bc-0.trace.gz,0.2165,50000005,230950830,170.2,7727709,7638648,789827,3520486
bc-12.trace.gz,0.2009,50000000,248878726,168.8,6863551,6771542,688153,3278479
bfs-10.trace.gz,0.5454,50000006,91670961,213.5,5104278,5094967,574921,378256
bfs-14.trace.gz,0.3789,50000006,131955105,219.7,5090411,5071243,776975,395857
cc-13.trace.gz,0.3965,50000000,126088618,88.16,5442890,5361382,544977,1104287
cc-14.trace.gz,0.4564,50000004,109543832,88.31,5155448,5067176,513004,1027646
cc-5.trace.gz,0.5002,50000000,99957360,90.08,4860530,4760640,487848,1028123
charlie_0000.champsim.gz,1.019,50000006,49087880,260.3,1455655,1353880,111204,40683
charlie_0001.champsim.gz,1.12,50000001,44657178,258.9,1502074,1383261,65383,22044
charlie_0002.champsim.gz,0.6958,50000005,71859352,262.9,2237423,2086744,178240,115868
charlie_0003.champsim.gz,0.849,50000000,58890471,268.6,2847412,2586562,60962,45467
charlie_0004.champsim.gz,0.7802,50000002,64090102,250.1,2763273,2517538,120015,76299
sssp-10.trace.gz,0.5702,50000006,87688785,111.6,5397255,5259401,585440,1382317
sssp-14.trace.gz,0.5785,50000005,86433862,112.8,5306220,5164370,581271,1266923
