trace,ipc,instructions,cycles,l2c_avg_miss_latency,l2c_prefetch_requested,l2c_prefetch_issued,l2c_prefetch_useful,l2c_prefetch_useless
charlie_0000.champsim.gz,0.8231,50000006,60747774,525.5,1462071,1367727,113205,40678
charlie_0003.champsim.gz,0.7414,50000000,67443505,593.0,2912832,2652564,67437,45802
charlie_0004.champsim.gz,0.6421,50000002,77871503,473.2,2778454,2544218,123318,76366
bfs-10.trace.gz,0.4612,50000006,108403916,285.7,5113814,5109043,574697,377186
cc-5.trace.gz,0.4198,50000000,119090590,117.8,4855072,4756043,487950,1028550
sssp-14.trace.gz,0.4234,50000002,118104262,199.6,5294775,5163044,584454,1266529
sssp-10.trace.gz,0.4152,50000006,120423616,198.5,5415324,5280119,586357,1380229
cc-14.trace.gz,0.3892,50000004,128457393,114.8,5155414,5068454,513353,1027973
bfs-14.trace.gz,0.3239,50000006,154347806,297.2,5420683,5399154,776309,394436
cc-13.trace.gz,0.3438,50000000,145443068,112.1,5443150,5361891,544819,1104658
charlie_0001.champsim.gz,0.9177,50000003,54482332,505.5,1505108,1392490,67259,22124
charlie_0002.champsim.gz,0.5518,50000005,90617532,514.2,2224695,2090492,182181,116152
bc-0.trace.gz,0.1428,50000002,350076176,282.4,7718924,7635401,789717,3517481
bc-12.trace.gz,0.1362,50000006,367095585,280.0,6772880,6695341,682930,3276615
