scheduler,num_l,num_h,max_slowdown_l,max_slowdown_h,max_slowdown
FCFS,3,1,1.270147,1.128601,1.270147
FCFS,2,2,1.487528,2.164978,2.164978
FCFS,0,4,0,4.96155,4.96155
FCFS,0,8,0,10.796749,10.796749
FRFCFS,3,1,1.075772,1.020748,1.075772
FRFCFS,2,2,1.108794,1.591418,1.591418
FRFCFS,0,4,0,3.119135,3.119135
FRFCFS,0,8,0,7.024618,7.024618
ATLAS,3,1,1.075772,1.056763,1.075772
ATLAS,2,2,1.108794,2.350885,2.350885
ATLAS,0,4,0,6.585471,6.585471
ATLAS,0,8,0,16.899113,16.899113
BLISS,3,1,1.066908,1.032882,1.066908
BLISS,2,2,1.088114,1.606597,1.606597
BLISS,0,4,0,3.159148,3.159148
BLISS,0,8,0,7.381148,7.381148
